53,47,3,12,29
26,41,49,44,48
22,48,49,30,26
22,48,67,49,30
53,3,47,67,29
53,56,3,47,12
26,44,41,49,21
22,48,67,49,26
49,26,30,22,48
47,66,29,12,67
43,57,53,52,3
53,3,57,43,67
53,3,47,9,56
53,3,57,67,4
66,47,11,22,67
53,57,43,3,52
26,41,49,44,30
4,57,43,15,7
53,3,57,43,67
53,3,47,9,56
48,22,49,26,30
28,56,47,53,12
47,29,53,66,67
47,66,29,67,69
67,47,68,69,66
4,15,67,53,57
47,29,66,12,69
53,57,43,3,4
53,3,57,67,43
47,12,66,29,67
67,22,48,62,49
56,28,47,53,12
28,56,53,47,12
53,3,57,43,67
22,67,48,49,26
22,67,48,49,62
26,44,41,20,37
53,3,56,47,9
53,56,47,3,28
53,56,3,47,12
53,3,56,47,9
67,68,69,47,62
53,3,47,67,29
47,29,66,69,67
22,30,49,48,26
28,56,53,47,12
67,22,62,48,26
53,3,57,67,4
67,68,62,69,47
47,66,29,67,69
56,53,28,47,3
53,3,47,67,57
47,66,29,12,67
47,66,29,12,67
47,29,66,69,67
47,56,12,66,29
47,66,29,12,67
53,3,47,56,9
26,39,42,50,70
47,29,66,12,69
67,62,22,48,27
56,53,47,28,12
53,47,67,3,29
53,3,57,67,43
53,56,3,47,12
56,47,28,12,53
53,3,47,67,29
48,26,22,49,41
53,47,3,67,29
53,3,56,18,43
53,3,56,47,9
26,49,30,41,48
30,49,22,48,26
53,3,47,9,67
53,67,47,69,68
53,56,3,47,12
53,3,47,67,9
22,48,49,30,26
22,48,49,67,30
26,41,49,20,48
28,56,53,47,12
53,3,47,57,67
15,67,4,7,53
28,56,53,47,3
28,56,47,53,12
57,53,4,43,3
47,53,12,29,66
53,3,47,9,56
53,56,3,47,12
53,3,56,47,9
47,66,29,69,67
15,4,67,53,7
47,29,66,12,69
53,3,57,67,47
47,29,66,12,69
53,67,3,47,68
28,56,53,47,12
53,3,57,47,67
47,66,67,69,29
22,48,30,49,67
67,62,22,68,27
30,22,49,48,26
67,62,22,68,27
47,66,29,12,67
67,15,53,68,4
22,66,67,11,47
28,56,47,53,12
53,3,47,67,29
47,66,29,12,67
47,56,12,66,29
47,29,66,69,67
53,3,57,43,47
56,53,47,28,12
30,26,49,44,22
53,47,3,56,29
28,56,47,53,12
22,67,48,49,62
47,12,66,29,17
67,53,15,68,4
56,47,28,12,66
53,3,56,47,9
56,53,47,28,3
67,22,62,48,26
53,3,47,67,29
53,67,47,3,69
53,3,57,47,43
26,48,49,22,41
47,66,29,12,67
53,3,57,43,47
53,56,47,3,12
53,3,47,9,57
53,3,43,57,18
53,57,3,43,52
67,68,53,62,69
67,15,53,4,68
56,53,47,28,12
22,67,48,49,26
57,4,53,43,15
30,22,49,48,26
53,57,4,67,3
