11,21,29,41,60,0,0,0,0,0,0,0,0,0
60,21,14,44,11,48,0,0,0,0,0,0,0,0
60,48,11,44,14,58,21,29,0,0,0,0,0,0
44,60,11,51,14,20,37,21,26,0,0,0,0,0
60,48,61,0,0,0,0,0,0,0,0,0,0,0
60,17,44,21,14,11,0,0,0,0,0,0,0,0
14,43,60,48,4,0,0,0,0,0,0,0,0,0
53,24,48,11,51,7,0,0,0,0,0,0,0,0
11,60,17,21,9,14,0,0,0,0,0,0,0,0
29,28,44,21,43,60,20,0,0,0,0,0,0,0
61,11,60,42,28,48,17,0,0,0,0,0,0,0
60,42,11,12,48,35,0,0,0,0,0,0,0,0
48,11,35,0,0,0,0,0,0,0,0,0,0,0
60,61,48,0,0,0,0,0,0,0,0,0,0,0
55,37,13,39,0,0,0,0,0,0,0,0,0,0
9,41,28,38,60,48,51,52,0,0,0,0,0,0
60,17,14,35,11,41,28,48,12,0,0,0,0,0
11,48,35,41,60,29,21,0,0,0,0,0,0,0
48,61,12,42,11,60,28,35,0,0,0,0,0,0
11,28,48,61,60,35,0,0,0,0,0,0,0,0
35,3,11,9,60,48,0,0,0,0,0,0,0,0
11,35,60,48,59,17,61,9,0,0,0,0,0,0
48,61,9,60,17,11,12,38,35,28,0,0,0,0
48,11,28,21,14,24,42,0,0,0,0,0,0,0
11,44,17,28,29,60,42,48,61,0,0,0,0,0
48,60,17,51,11,49,4,28,0,0,0,0,0,0
60,61,0,0,0,0,0,0,0,0,0,0,0,0
21,11,60,14,43,29,44,28,0,0,0,0,0,0
48,61,11,21,60,0,0,0,0,0,0,0,0,0
11,55,14,60,41,44,0,0,0,0,0,0,0,0
20,11,41,21,60,26,44,14,1,29,25,0,0,0
42,28,11,61,60,48,0,0,0,0,0,0,0,0
41,60,0,0,0,0,0,0,0,0,0,0,0,0
11,60,61,21,0,0,0,0,0,0,0,0,0,0
11,60,44,48,21,25,61,43,0,0,0,0,0,0
37,25,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0
60,28,21,61,14,11,41,17,4,44,0,0,0,0
11,48,0,0,0,0,0,0,0,0,0,0,0,0
21,60,11,14,0,0,0,0,0,0,0,0,0,0
60,41,21,17,61,49,0,0,0,0,0,0,0,0
11,58,60,44,25,29,14,0,0,0,0,0,0,0
21,58,35,11,60,0,0,0,0,0,0,0,0,0
29,21,2,60,11,0,0,0,0,0,0,0,0,0
60,42,11,44,19,0,0,0,0,0,0,0,0,0
14,25,55,13,38,0,0,0,0,0,0,0,0,0
44,11,14,43,0,0,0,0,0,0,0,0,0,0
11,14,60,25,0,0,0,0,0,0,0,0,0,0
21,29,61,37,11,13,2,0,0,0,0,0,0,0
60,42,0,0,0,0,0,0,0,0,0,0,0,0
60,48,52,21,61,11,17,9,35,0,0,0,0,0
48,21,9,0,0,0,0,0,0,0,0,0,0,0
60,35,11,61,41,21,0,0,0,0,0,0,0,0
11,60,55,48,29,35,25,0,0,0,0,0,0,0
48,35,11,60,9,41,53,0,0,0,0,0,0,0
11,60,21,35,61,14,58,44,25,42,0,0,0,0
11,21,0,0,0,0,0,0,0,0,0,0,0,0
11,48,21,35,0,0,0,0,0,0,0,0,0,0
60,21,11,48,51,0,0,0,0,0,0,0,0,0
60,38,21,61,48,11,0,0,0,0,0,0,0,0
11,51,60,35,48,42,0,0,0,0,0,0,0,0
44,61,29,60,42,14,41,0,0,0,0,0,0,0
11,51,42,48,60,35,0,0,0,0,0,0,0,0
48,11,61,60,0,0,0,0,0,0,0,0,0,0
12,48,11,24,9,0,0,0,0,0,0,0,0,0
57,61,9,48,53,35,0,0,0,0,0,0,0,0
17,60,29,55,0,0,0,0,0,0,0,0,0,0
48,42,9,11,21,22,35,0,0,0,0,0,0,0
61,60,21,14,0,0,0,0,0,0,0,0,0,0
38,11,60,48,0,0,0,0,0,0,0,0,0,0
60,48,61,35,11,28,52,41,18,3,42,0,0,0
60,48,42,61,35,49,11,4,9,0,0,0,0,0
37,60,14,35,48,51,0,0,0,0,0,0,0,0
60,52,53,14,41,0,0,0,0,0,0,0,0,0
60,61,19,11,21,14,2,0,0,0,0,0,0,0
60,35,48,41,61,0,0,0,0,0,0,0,0,0
21,35,3,41,60,28,0,0,0,0,0,0,0,0
11,60,41,44,29,62,14,0,0,0,0,0,0,0
17,60,52,11,48,35,50,0,0,0,0,0,0,0
60,18,11,48,0,0,0,0,0,0,0,0,0,0
60,11,14,2,54,25,29,0,0,0,0,0,0,0
35,53,61,48,0,0,0,0,0,0,0,0,0,0
48,12,60,3,58,17,11,35,0,0,0,0,0,0
3,11,0,0,0,0,0,0,0,0,0,0,0,0
11,48,60,51,18,61,38,0,0,0,0,0,0,0
61,11,28,0,0,0,0,0,0,0,0,0,0,0
35,53,60,50,0,0,0,0,0,0,0,0,0,0
11,60,14,43,21,19,44,0,0,0,0,0,0,0
18,48,57,60,11,41,53,42,28,38,22,27,0,0
60,25,13,11,61,21,48,55,44,0,0,0,0,0
48,52,35,42,0,0,0,0,0,0,0,0,0,0
11,60,41,0,0,0,0,0,0,0,0,0,0,0
61,11,48,14,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
18,48,21,0,0,0,0,0,0,0,0,0,0,0
35,51,61,0,0,0,0,0,0,0,0,0,0,0
42,3,48,60,57,0,0,0,0,0,0,0,0,0
9,48,60,4,28,17,51,0,0,0,0,0,0,0
55,60,21,29,25,44,58,37,0,0,0,0,0,0
11,60,29,26,12,44,21,17,0,0,0,0,0,0
60,61,12,3,11,58,0,0,0,0,0,0,0,0
61,60,11,41,18,0,0,0,0,0,0,0,0,0
60,24,11,51,17,49,41,0,0,0,0,0,0,0
60,61,48,7,57,11,0,0,0,0,0,0,0,0
11,9,60,0,0,0,0,0,0,0,0,0,0,0
21,48,35,0,0,0,0,0,0,0,0,0,0,0
4,48,38,0,0,0,0,0,0,0,0,0,0,0
11,48,35,51,60,38,9,61,0,0,0,0,0,0
11,60,48,61,38,35,9,52,0,0,0,0,0,0
48,38,35,60,52,4,0,0,0,0,0,0,0,0
11,48,35,0,0,0,0,0,0,0,0,0,0,0
3,35,42,48,4,11,0,0,0,0,0,0,0,0
60,11,7,61,4,35,0,0,0,0,0,0,0,0
11,48,21,60,55,29,42,19,0,0,0,0,0,0
60,11,0,0,0,0,0,0,0,0,0,0,0,0
60,11,0,0,0,0,0,0,0,0,0,0,0,0
60,35,11,48,49,12,44,61,0,0,0,0,0,0
48,35,60,11,19,61,17,4,53,0,0,0,0,0
11,51,60,7,35,48,61,53,0,0,0,0,0,0
21,60,11,0,0,0,0,0,0,0,0,0,0,0
21,11,60,29,31,0,0,0,0,0,0,0,0,0
11,14,21,29,60,0,0,0,0,0,0,0,0,0
13,37,43,48,9,0,0,0,0,0,0,0,0,0
35,49,11,53,48,42,25,21,0,0,0,0,0,0
29,60,14,11,21,48,25,0,0,0,0,0,0,0
11,49,48,0,0,0,0,0,0,0,0,0,0,0
17,60,48,0,0,0,0,0,0,0,0,0,0,0
11,60,42,48,0,0,0,0,0,0,0,0,0,0
37,25,43,55,42,44,11,0,0,0,0,0,0,0
21,11,51,60,52,0,0,0,0,0,0,0,0,0
48,51,0,0,0,0,0,0,0,0,0,0,0,0
48,60,51,35,61,53,0,0,0,0,0,0,0,0
60,35,0,0,0,0,0,0,0,0,0,0,0,0
51,48,21,11,60,9,3,57,0,0,0,0,0,0
48,49,35,57,60,0,0,0,0,0,0,0,0,0
11,48,38,57,53,29,51,35,0,0,0,0,0,0
14,21,11,25,43,2,0,0,0,0,0,0,0,0
60,61,0,0,0,0,0,0,0,0,0,0,0,0
9,35,60,48,51,21,0,0,0,0,0,0,0,0
48,60,0,0,0,0,0,0,0,0,0,0,0,0
60,9,11,48,35,61,18,0,0,0,0,0,0,0
28,48,21,60,11,35,0,0,0,0,0,0,0,0
60,48,38,11,61,9,7,0,0,0,0,0,0,0
48,51,60,28,11,29,42,0,0,0,0,0,0,0
14,60,13,37,41,0,0,0,0,0,0,0,0,0
11,22,61,48,0,0,0,0,0,0,0,0,0,0
60,11,20,44,14,61,25,21,42,2,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
35,60,48,52,7,4,61,0,0,0,0,0,0,0
48,60,11,38,62,4,61,21,17,0,0,0,0,0
13,60,25,54,0,0,0,0,0,0,0,0,0,0
21,14,0,0,0,0,0,0,0,0,0,0,0,0
61,35,60,21,11,58,19,0,0,0,0,0,0,0
60,21,44,37,25,0,0,0,0,0,0,0,0,0
48,51,11,60,21,38,0,0,0,0,0,0,0,0
11,9,12,53,35,42,29,61,49,51,60,59,0,0
48,42,9,35,4,0,0,0,0,0,0,0,0,0
9,12,11,48,2,61,28,51,0,0,0,0,0,0
60,58,14,11,0,0,0,0,0,0,0,0,0,0
60,48,51,59,0,0,0,0,0,0,0,0,0,0
48,35,51,60,4,0,0,0,0,0,0,0,0,0
60,21,2,11,44,61,29,26,0,0,0,0,0,0
11,51,3,60,61,48,0,0,0,0,0,0,0,0
11,48,17,60,0,0,0,0,0,0,0,0,0,0
48,4,11,60,41,3,51,21,18,35,17,0,0,0
17,60,35,11,61,0,0,0,0,0,0,0,0,0
18,11,61,60,0,0,0,0,0,0,0,0,0,0
14,21,11,60,41,29,61,0,0,0,0,0,0,0
11,41,60,0,0,0,0,0,0,0,0,0,0,0
11,3,60,14,2,21,61,56,48,35,44,41,0,0
61,9,48,0,0,0,0,0,0,0,0,0,0,0
61,18,11,28,0,0,0,0,0,0,0,0,0,0
60,48,3,26,61,0,0,0,0,0,0,0,0,0
11,51,17,35,48,60,0,0,0,0,0,0,0,0
11,48,18,0,0,0,0,0,0,0,0,0,0,0
60,7,48,61,4,41,35,0,0,0,0,0,0,0
11,9,48,42,0,0,0,0,0,0,0,0,0,0
28,60,11,48,4,7,35,61,0,0,0,0,0,0
48,60,63,11,35,57,9,0,0,0,0,0,0,0
60,14,0,0,0,0,0,0,0,0,0,0,0,0
9,60,21,40,25,38,0,0,0,0,0,0,0,0
60,61,38,53,25,48,11,35,14,0,0,0,0,0
26,60,21,29,11,14,0,0,0,0,0,0,0,0
60,11,53,48,21,0,0,0,0,0,0,0,0,0
11,60,52,48,21,7,4,61,28,41,0,0,0,0
14,60,52,0,0,0,0,0,0,0,0,0,0,0
60,37,18,61,35,4,48,53,22,38,0,0,0,0
48,4,60,57,38,25,9,61,0,0,0,0,0,0
11,14,48,60,29,25,0,0,0,0,0,0,0,0
55,60,37,25,21,14,0,0,0,0,0,0,0,0
29,44,11,60,14,42,25,0,0,0,0,0,0,0
60,14,21,61,42,29,0,0,0,0,0,0,0,0
25,60,48,0,0,0,0,0,0,0,0,0,0,0
11,44,60,9,42,20,18,0,0,0,0,0,0,0
60,28,11,57,48,44,38,53,0,0,0,0,0,0
35,48,44,60,61,0,0,0,0,0,0,0,0,0
48,60,53,3,11,12,16,61,35,0,0,0,0,0
37,61,25,11,43,23,55,13,2,0,0,0,0,0
35,11,3,41,53,48,22,0,0,0,0,0,0,0
38,48,3,35,0,0,0,0,0,0,0,0,0,0
60,35,48,61,0,0,0,0,0,0,0,0,0,0
60,11,48,12,44,18,61,35,0,0,0,0,0,0
11,60,35,0,0,0,0,0,0,0,0,0,0,0
28,60,17,48,11,0,0,0,0,0,0,0,0,0
60,11,61,48,28,41,2,0,0,0,0,0,0,0
58,21,29,37,25,60,0,0,0,0,0,0,0,0
21,52,48,12,0,0,0,0,0,0,0,0,0,0
48,60,1,57,0,0,0,0,0,0,0,0,0,0
53,11,48,60,61,0,0,0,0,0,0,0,0,0
11,60,28,48,61,42,0,0,0,0,0,0,0,0
60,53,35,52,42,57,11,48,28,0,0,0,0,0
60,53,19,11,4,0,0,0,0,0,0,0,0,0
3,48,60,11,35,0,0,0,0,0,0,0,0,0
48,60,38,0,0,0,0,0,0,0,0,0,0,0
11,60,35,48,44,53,0,0,0,0,0,0,0,0
60,11,26,48,16,14,0,0,0,0,0,0,0,0
13,48,7,60,21,11,25,0,0,0,0,0,0,0
61,11,4,48,9,0,0,0,0,0,0,0,0,0
4,48,53,38,61,60,9,12,0,0,0,0,0,0
17,52,60,11,44,0,0,0,0,0,0,0,0,0
60,11,41,61,48,28,0,0,0,0,0,0,0,0
60,11,21,42,35,29,48,14,0,0,0,0,0,0
43,11,25,20,60,14,37,0,0,0,0,0,0,0
48,60,61,7,11,51,0,0,0,0,0,0,0,0
35,60,53,48,11,0,0,0,0,0,0,0,0,0
60,11,44,61,7,48,0,0,0,0,0,0,0,0
60,61,41,11,0,0,0,0,0,0,0,0,0,0
35,44,21,48,11,0,0,0,0,0,0,0,0,0
48,21,60,0,0,0,0,0,0,0,0,0,0,0
11,60,61,35,48,52,0,0,0,0,0,0,0,0
3,48,35,11,60,28,42,18,4,0,0,0,0,0
11,61,21,60,17,41,0,0,0,0,0,0,0,0
14,44,61,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
48,11,61,60,35,51,8,17,9,0,0,0,0,0
48,18,11,60,28,35,25,51,42,3,0,0,0,0
60,11,51,48,9,0,0,0,0,0,0,0,0,0
60,3,2,48,18,11,61,49,9,0,0,0,0,0
48,60,35,61,44,0,0,0,0,0,0,0,0,0
28,48,59,51,0,0,0,0,0,0,0,0,0,0
21,60,55,11,44,31,14,0,0,0,0,0,0,0
11,41,48,60,4,7,0,0,0,0,0,0,0,0
35,48,21,11,61,51,0,0,0,0,0,0,0,0
11,48,42,60,51,21,61,28,0,0,0,0,0,0
35,18,48,0,0,0,0,0,0,0,0,0,0,0
51,48,60,53,11,28,35,3,9,25,32,21,0,0
14,11,58,60,0,0,0,0,0,0,0,0,0,0
42,14,61,11,48,9,3,60,35,0,0,0,0,0
48,35,26,60,41,61,11,51,9,0,0,0,0,0
11,41,48,60,35,61,0,0,0,0,0,0,0,0
11,3,28,48,24,0,0,0,0,0,0,0,0,0
48,51,2,60,11,9,29,0,0,0,0,0,0,0
60,21,26,11,0,0,0,0,0,0,0,0,0,0
35,12,60,48,0,0,0,0,0,0,0,0,0,0
60,48,42,11,18,0,0,0,0,0,0,0,0,0
21,60,44,41,11,48,14,0,0,0,0,0,0,0
60,48,12,51,0,0,0,0,0,0,0,0,0,0
48,60,11,21,35,0,0,0,0,0,0,0,0,0
21,11,58,60,44,48,37,2,0,0,0,0,0,0
29,44,11,21,60,48,0,0,0,0,0,0,0,0
31,25,37,11,0,0,0,0,0,0,0,0,0,0
11,31,60,13,58,6,55,21,0,0,0,0,0,0
60,3,41,52,48,11,4,35,18,0,0,0,0,0
60,11,17,9,48,0,0,0,0,0,0,0,0,0
11,60,61,48,42,35,0,0,0,0,0,0,0,0
11,58,48,17,28,60,9,35,53,0,0,0,0,0
35,48,60,11,57,21,0,0,0,0,0,0,0,0
48,60,14,35,42,3,11,61,2,21,52,0,0,0
60,48,25,17,11,0,0,0,0,0,0,0,0,0
42,11,48,51,60,0,0,0,0,0,0,0,0,0
61,60,48,11,28,0,0,0,0,0,0,0,0,0
