4,7,40,7,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
8,1,51,7,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2182
21,7,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3615
61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11595
20,7,38,7,58,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59204
37,7,51,7,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92454
44,7,51,7,54,7,58,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114959
12,7,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159342
3,1,45,7,46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224631
27,1,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256326
3,7,4,1,46,7,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274940
22,7,44,7,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277672
46,7,54,7,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277673
3,7,9,7,12,7,18,7,20,7,27,7,37,7,61,7,63,1,0,0,0,0,0,0,350912
7,7,44,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358390
21,7,45,7,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382455
24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428183
4,1,18,7,44,7,58,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456506
3,7,9,7,12,7,18,7,21,7,45,7,46,7,51,7,54,7,62,7,64,7,0,0,461339
46,7,54,7,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467365
51,7,54,7,62,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468702
3,7,9,7,18,7,50,7,54,7,58,7,0,0,0,0,0,0,0,0,0,0,0,0,525659
2,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547070
15,7,37,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612184
9,7,12,7,13,1,18,7,23,7,44,7,50,7,0,0,0,0,0,0,0,0,0,0,635266
18,7,45,2,46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637769
61,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653983
40,7,54,2,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732380
25,7,46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775077
45,1,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788400
12,7,21,7,44,7,45,7,54,7,59,7,61,7,62,7,0,0,0,0,0,0,0,0,790007
20,1,22,7,62,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828427
8,1,9,7,12,7,22,7,51,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839752
50,1,62,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871926
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883274
6,1,12,7,20,7,23,7,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894238
