11,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0
60,48,11,0,0,0,0,0,0,0,0,0
44,60,11,51,0,0,0,0,0,0,0,0
60,48,61,41,0,0,0,0,0,0,0,0
60,17,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0
53,24,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
29,28,0,0,0,0,0,0,0,0,0,0
61,11,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0
48,11,35,0,0,0,0,0,0,0,0,0
60,61,48,53,0,0,0,0,0,0,0,0
55,37,13,0,0,0,0,0,0,0,0,0
9,41,28,0,0,0,0,0,0,0,0,0
60,17,14,35,0,0,0,0,0,0,0,0
11,48,0,0,0,0,0,0,0,0,0,0
48,61,12,0,0,0,0,0,0,0,0,0
11,28,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0
11,35,60,0,0,0,0,0,0,0,0,0
48,61,9,60,17,0,0,0,0,0,0,0
48,11,0,0,0,0,0,0,0,0,0,0
11,44,17,28,0,0,0,0,0,0,0,0
48,60,17,0,0,0,0,0,0,0,0,0
60,61,14,11,42,52,0,0,0,0,0,0
21,11,60,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
20,11,41,21,60,26,44,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0
41,60,14,21,48,11,0,0,0,0,0,0
11,60,0,0,0,0,0,0,0,0,0,0
11,60,44,0,0,0,0,0,0,0,0,0
37,25,60,14,13,29,0,0,0,0,0,0
60,14,44,21,11,48,61,35,0,0,0,0
60,28,21,61,14,0,0,0,0,0,0,0
11,48,14,60,51,41,0,0,0,0,0,0
21,60,0,0,0,0,0,0,0,0,0,0
60,41,0,0,0,0,0,0,0,0,0,0
11,58,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0
