5569,709172.732539457,5709286.88571856,22,16,248.21,263.34,2
5575,709749.736633003,5709247.96283848,37,36,235.84,254.16,2
5578,706762.92781399,5709918.46451145,139,112,283.66,290.64,2
5580,707096.952930059,5710716.44084812,99,91,259.52,280.48,2
5582,710303.505549081,5710112.47452899,24,21,224.24,239.73,2
5583,711144.151128058,5709851.67280023,22,21,250.37,256.83,2
5585,707216.442692936,5711226.81578665,15,15,246.4,276.04,2
5588,706234.662952785,5707309.68094141,19,17,238.44,264.24,2
5589,706581.927971071,5709644.39432912,51,37,255.07,269.27,2
5590,706598.071785181,5707354.47200143,26,26,218.41,255.21,2
5592,708413.39964962,5708927.20898311,15,13,276.18,275.98,2
5596,707159.092013989,5708999.38628,89,70,258.34,284.24,2
5597,711830.869170544,5711464.17930556,51,41,277.71,285.58,2
5601,710170.544616351,5709099.57966446,15,15,268.01,257.68,2
5604,707565.32273619,5710809.30547,14,13,252.4,281.49,2
5606,706780.892864714,5711784.67554229,32,32,235.23,243.07,2
5608,707688.700640759,5708188.64402166,23,19,271.93,282.6,2
5611,705989.254547868,5710052.92724345,62,40,245.21,278.19,2
5639,704626.27354987,5711764.10231,2,2,194.07,220.27,2
5652,710047.512098879,5710261.01362609,41,36,256.59,284.15,3
5654,710039.737810945,5709397.5182498,247,220,258.48,265.74,3
5659,709133.93568997,5709408.17979126,57,24,289.47,296.9,3
5661,704053.599147276,5712120.15083263,73,54,256.34,274.8,3
5664,712215.605897604,5712188.87887918,44,41,273.75,291.33,3
5668,704888.045283519,5707659.68728366,27,25,261.23,265.52,3
5669,710786.42564272,5710278.42873195,35,26,280.09,308.38,3
5670,708591.54534478,5709702.81432899,55,38,252.94,270.81,3
5675,706322.045761467,5707937.26009355,7,7,233.93,303.14,3
5680,707565.743476725,5709207.25501814,67,50,274.07,286.28,3
5682,709607.029146257,5709090.27833699,35,32,260.37,285.49,3
5684,710447.326991203,5708836.16255305,6,6,258.55,245.98,3
5686,706342.465439118,5710444.82934662,10,9,226.63,263.47,3
5690,707849.345639326,5710612.96876623,18,18,192.78,211.99,3
5693,710092.335557327,5708823.62879356,5,4,209.8,232.25,3
5694,711481.593287299,5710297.21406923,2,2,219.98,284.98,3
5697,706885.230528194,5711843.04696078,35,34,239.57,266.23,3
5698,710737.768861955,5709547.12411287,20,17,250.49,267.68,3
5703,711081.845260503,5709269.76862265,33,33,261.96,275.09,3
5706,711763.855734092,5710096.60854635,29,26,256.34,263.6,3
5709,707345.595428785,5709903.66840089,14,13,219.25,227.48,3
5713,709925.211848365,5709618.50042788,22,19,252.59,276.83,3
5714,712266.312960317,5710957.05114622,16,15,266.99,278.87,3
5717,706165.946163672,5711097.65913476,43,41,288.78,311.6,3
5726,710385.046175251,5709327.85943429,34,34,249.83,279.41,3
5746,706884.506968274,5711985.93442525,28,28,209.48,255.51,3
5782,708527.75720559,5709970.26997038,58,48,250.93,251.61,3
5813,707725.769239237,5709131.0345124,99,19,308.53,300.66,3
5814,709411.507654523,5709584.98537289,64,35,265.66,286.66,3
5816,709610.395154138,5709357.84902163,35,23,282.12,285.25,3
11465,711764.24536631,5709770.80859912,3,3,203.21,265.78,3
19923,710195.94855368,5708799.29608546,12,11,255.03,267.38,3
19944,706354.275011542,5710640.67870795,5,5,268.46,266.84,3
19981,706862.846007896,5709980.65913438,33,9,292.26,302,3
19983,705192.302061494,5707236.41827114,73,67,271.08,266.38,3
20016,706537.762890767,5712296.49528284,52,52,232.01,252.92,3
20025,706594.537016308,5709127.81434725,64,42,260.99,285.5,2
20048,706703.40852807,5710571.49138135,51,31,282.91,290.09,3
20085,705346.252663244,5711361.62895185,13,9,275.96,299.07,3
20096,710640.545302666,5711149.45823999,33,31,260.99,275.8,3
20100,711513.079864158,5710358.41864399,25,24,243.15,256.98,3
20122,709904.245522403,5710113.65913432,10,10,244.01,260.45,3
20129,708644.845723608,5710086.45872366,17,13,284.47,292.32,3
20137,704023.016949968,5712268.57328086,61,53,269.62,290.47,3
20140,711350.733633448,5709916.9078921,21,18,266.12,274.16,3
20173,704108.146373753,5707450.05917664,81,66,252.47,267.87,3
20180,708019.663279769,5709008.70708557,38,38,271.92,297.04,3
20181,708586.94567241,5710259.35942514,49,15,300.77,312.83,3
20212,707972.545494912,5709957.15851081,31,20,263.49,282.61,3
20218,707756.055279906,5709595.83833595,24,10,251.94,282.77,3
20226,711943.280697899,5710961.23139946,58,51,258.64,273.08,3
20265,710284.120139786,5708626.72474752,57,55,255.83,270.51,3
20274,703634.791413034,5707638.11500918,41,36,238.32,272.54,3
