5569,-38.7099927,-72.6658995,0,5473,1
5575,-38.7380701,-72.5894956,0,16178,1
5578,-38.7315016,-72.6422786,0,44092,4
5580,-38.757098,-72.6302578,0,53320,4
5582,-38.7305002,-72.6269979,0,62822,3
5583,-38.7216501,-72.6222174,1,92656,5
5585,-38.7162491,-72.6226891,0,106439,2
5588,-38.7398546,-72.6329458,1,109151,4
5589,-38.7605684,-72.6244586,0,109487,5
5590,-38.7300912,-72.5610267,0,118520,2
5592,-38.7093461,-72.5576294,0,123469,3
5596,-38.7355316,-72.6373353,0,135451,2
5597,-38.7414971,-72.5895552,1,148219,2
5601,-38.7161344,-72.626632,1,208136,2
5604,-38.7352426,-72.5774262,0,227621,3
5606,-38.7084875,-72.6228369,1,290000,4
5608,-38.7382123,-72.5911988,0,320418,3
5611,-38.7600361,-72.6287981,1,348270,2
5652,-38.7344562,-72.6481753,0,360716,3
5654,-38.7391032,-72.5881846,1,381320,1
5659,-38.7251195,-72.6267697,0,382086,6
5661,-38.7162641,-72.619511,1,408006,4
5664,-38.7385749,-72.5906908,0,419946,2
5668,-38.7103562,-72.6247899,1,420161,5
5669,-38.729662,-72.6100319,1,428587,2
5675,-38.7389541,-72.5941649,1,430897,2
5680,-38.7707245,-72.595333,0,436296,1
5682,-38.7361925,-72.5934949,0,438337,4
5684,-38.7527827,-72.6437107,0,455277,3
5686,-38.7435084,-72.5819975,0,456973,3
5693,-38.7621707,-72.6262899,1,458507,2
5694,-38.7392212,-72.57625,1,518811,3
5697,-38.7674775,-72.5982724,1,594317,3
5698,-38.7153372,-72.6565547,0,632249,2
5703,-38.7396114,-72.5926403,1,641805,2
5706,-38.7105177,-72.6630105,1,688411,4
5709,-38.7177027,-72.5502754,0,742621,3
5713,-38.7526198,-72.6041359,1,760970,6
5714,-38.7618735,-72.7403299,1,766045,2
5717,-38.7390231,-72.5929253,0,769647,4
5722,-38.7413837,-72.6235205,0,772050,3
5726,-38.7258671,-72.5598161,1,839157,5
5746,-38.7383494,-72.5906261,0,854680,2
5782,-38.739066,-72.589473,1,859359,2
5813,-38.7365758,-72.5851342,1,865806,3
5814,-38.7397083,-72.6134653,0,940495,3
5816,-38.7421988,-72.6164188,0,980011,3
11465,-38.7402202,-72.5888909,0,996209,6
19923,-38.7297758,-72.6253225,0,1153277,2
19944,-38.7187371,-72.6200951,1,1184309,4
19981,-38.7402096,-72.591029,1,1228314,4
19983,-38.7289795,-72.6131297,0,1253641,3
20016,-38.723246,-72.6204423,0,1261256,3
20048,-38.7633585,-72.5951512,1,1291329,3
20085,-38.7357536,-72.5889921,0,1312652,2
20096,-38.7226985,-72.5618512,1,1322515,3
20100,-38.715596,-72.6561118,1,1406192,3
20129,-38.7289575,-72.6204572,0,1426206,3
20137,-38.7386808,-72.5987232,1,1430991,3
20140,-38.7117297,-72.6572883,0,1433775,2
20173,-38.7060735,-72.5404612,1,1477760,4
20181,-38.7184402,-72.5518554,0,1536472,3
20212,-38.7238382,-72.6133588,1,1542178,3
20218,-38.7410499,-72.5771403,1,1548754,3
5589,-38.721967,-72.5563228,0,1588713,1
5706,-38.7728451,-72.5750807,1,1645632,2
5746,-38.7000769,-72.5477226,0,1650906,2
5680,-38.7429341,-72.6133932,0,1652253,3
5714,-38.7111396,-72.5567274,0,1660781,6
20181,-38.7391253,-72.59117,0,1664375,4
5669,-38.7396578,-72.5931668,0,1677162,3
20085,-38.712591,-72.6669946,0,1763161,5
5583,-38.740448,-72.5927184,0,1781546,2
5604,-38.7343376,-72.61018,0,1854434,4
20096,-38.7114088,-72.6222184,0,1872737,2
19923,-38.7349398,-72.6285713,0,1932511,4
5580,-38.7403538,-72.5931317,1,1946932,1
5659,-38.7244808,-72.63318,1,1987092,5
5583,-38.7548478,-72.6302416,0,2031565,3
5717,-38.7385285,-72.5904336,0,2034191,10
19983,-38.7254708,-72.6083913,0,2056064,2
20048,-38.7053218,-72.5381682,0,2105946,4
5717,-38.7748389,-72.5921569,0,2171170,2
5604,-38.7679561,-72.6030815,0,2201770,1
5611,-38.732726,-72.5711268,0,2207554,3
19923,-38.7088153,-72.5508556,0,2305195,3
5694,-38.7207159,-72.6061581,1,2371071,4
5578,-38.7398484,-72.5897615,0,2372124,4
5590,-38.7101345,-72.6226209,1,2396207,2
5652,-38.7375756,-72.5930566,1,2402208,2
5583,-38.7195126,-72.6220045,1,2407167,3
5580,-38.7338006,-72.5790996,1,2410721,4
5746,-38.7261876,-72.5661438,0,2444619,3
5659,-38.7669574,-72.7679801,0,2451019,2
20100,-38.7393217,-72.5903978,0,2461760,2
5578,-38.7737963,-72.7732462,0,2470262,1
5578,-38.7141472,-72.6267135,1,2512468,6
5706,-38.7185086,-72.565634,0,2514120,2
5604,-38.7072228,-72.5488671,1,2527321,4
5592,-38.75492,-72.6646856,0,2543309,3
