5569,-38.74034409,-72.59330381,11,11,3,0
5575,-38.74055953,-72.58666101,12,12,4,0
5578,-38.73522727,-72.62119767,72,25,11,0
5580,-38.728359,-72.617425,68,16,10,0
5582,-38.73264489,-72.58056024,22,22,6,0
5583,-38.734557,-72.570816,10,10,5,0
5585,-38.723081,-72.616348,20,15,4,0
5588,-38.758967,-72.626181,33,15,7,0
5589,-38.73773579,-72.6231972,34,23,11,0
5590,-38.755924,-72.622305,34,22,8,1
5592,-38.743479,-72.602545,9,9,5,0
5596,-38.74360195,-72.61653582,10,10,6,0
5597,-38.720336,-72.563568,38,12,5,0
5601,-38.741586,-72.582609,30,23,15,0
5604,-38.72701612,-72.61224419,23,23,7,0
5606,-38.718667,-72.621582,28,14,7,0
5608,-38.74989,-72.608614,14,14,6,0
5611,-38.73419637,-72.63013656,40,17,7,3
5652,-38.730994,-72.58308,64,18,8,1
5654,-38.73914315,-72.58337376,59,19,9,0
5659,-38.73926208,-72.59379019,9,9,4,0
5661,-38.71603122,-72.65299579,13,13,3,0
5664,-38.71298,-72.558976,16,16,9,0
5668,-38.75600077,-72.64208477,22,20,8,0
5669,-38.73103385,-72.57505818,5,5,4,0
5675,-38.75316752,-72.62567782,39,17,11,1
5680,-38.74144109,-72.61175826,10,10,3,0
5682,-38.741976,-72.588462,17,17,8,0
5684,-38.74410041,-72.57851732,10,10,4,2
5686,-38.73058459,-72.62619105,18,16,7,1
5693,-38.74429778,-72.58259479,8,8,2,0
5694,-38.7306986,-72.56707322,26,23,8,3
5697,-38.71786813,-72.62036979,7,7,5,0
5698,-38.73762989,-72.57539476,19,14,7,0
5703,-38.739818,-72.572965,53,20,7,0
5706,-38.732258,-72.563695,12,12,4,0
5709,-38.726275,-72.605918,8,8,2,0
5713,-38.73718071,-72.58475741,39,25,11,5
5714,-38.724659,-72.558308,17,17,7,0
5717,-38.72474769,-72.62841459,15,15,9,0
5722,-38.72639849,-72.56491523,5,5,1,0
5726,-38.7399,-72.5794,15,15,6,0
5746,-38.71658174,-72.62042079,20,20,7,0
5782,-38.73434442,-72.60092835,34,16,5,0
5813,-38.74194,-72.609981,20,20,10,7
5814,-38.74004495,-72.57135473,1,1,0,0
5816,-38.73960231,-72.5882975,1,1,0,1
11465,-38.73537045,-72.56366318,45,19,9,7
19923,-38.74449221,-72.58139617,28,19,6,0
19944,-38.7288184,-72.62611369,18,18,6,0
19981,-38.73464229,-72.62007052,1,1,1,1
19983,-38.759739,-72.638489,10,10,4,0
20016,-38.714171,-72.6264521,10,10,5,0
20048,-38.72935976,-72.62207983,58,22,9,9
20085,-38.723169,-72.6372269,33,22,9,4
20096,-38.72322615,-72.57700008,23,16,9,0
20100,-38.728811,-72.566271,18,18,7,0
20129,-38.73327063,-72.5996174,22,9,5,4
20137,-38.71470185,-72.65339099,46,13,5,3
20140,-38.73415405,-72.56846125,6,6,2,0
20173,-38.75743,-72.650736,86,19,12,14
20181,-38.73172753,-72.60033509,14,14,8,7
20212,-38.73459335,-72.60730683,11,11,7,0
20218,-38.7380694,-72.6101715,21,12,6,4
