20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5473
61,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16178
18,7,51,7,54,7,62,2,0,0,0,0,0,0,0,0,0,0,0,0,44092
18,7,52,7,54,7,61,7,0,0,0,0,0,0,0,0,0,0,0,0,53320
3,7,50,1,58,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62822
3,7,4,7,15,7,16,7,20,7,0,0,0,0,0,0,0,0,0,0,92656
20,7,44,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106439
3,7,9,7,12,7,18,7,0,0,0,0,0,0,0,0,0,0,0,0,109151
9,7,12,7,20,7,52,7,59,7,0,0,0,0,0,0,0,0,0,0,109487
47,7,62,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118520
51,7,54,7,62,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123469
18,7,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135451
6,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148219
16,7,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208136
21,7,47,7,51,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227621
3,7,22,7,25,7,44,1,0,0,0,0,0,0,0,0,0,0,0,0,290000
2,7,20,7,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320418
8,1,52,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348270
47,7,51,7,62,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360716
50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381320
21,7,47,7,51,7,54,2,62,7,63,1,0,0,0,0,0,0,0,0,382086
4,7,40,7,43,1,53,7,0,0,0,0,0,0,0,0,0,0,0,0,408006
3,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419946
4,7,12,7,20,7,48,7,55,7,0,0,0,0,0,0,0,0,0,0,420161
