5569,5705903.10031236,187670.448749631,34,31,2
5575,5705902.4709886,188249.110193812,39,33,2
5578,5706375.81533025,185222.695952683,101,85,2
5580,5707151.50989041,185521.639500618,124,108,2
5582,5706802.49361979,188745.304263205,20,20,2
5583,5706622.55630607,189600.11685389,33,30,2
5585,5707741.22695481,185591.341195748,21,18,2
5588,5703723.26969319,184894.035192205,40,36,2
5589,5706090.17620046,185060.012005346,68,55,2
5590,5704075.00257933,185217.537194417,18,14,2
5592,5705523.79231259,186880.778597266,34,30,2
5596,5705484.44837025,185678.582831817,105,85,2
5597,5708225.43674307,190169.543054201,47,44,2
5601,5705802.82310126,188605.766759785,14,11,2
5604,5707317.93409737,185965.524384113,9,8,2
5606,5708212.79093573,185116.776734241,34,32,2
5608,5704791.61836013,186381.560087129,20,18,2
5611,5706459.27677763,184442.031196638,70,57,2
5652,5706975.9836938,188519.308430236,53,46,3
5654,5706071.23489827,188529.50508603,256,229,3
5659,5706022.1287413,187623.885543893,76,44,3
5661,5708397.24937237,182373.282247738,90,74,3
5664,5709058.34619494,190536.495136859,45,41,3
5668,5703997.7011596,183498.923590874,20,18,3
5669,5706999.82722878,189216.654412913,42,35,3
5670,5706280.47291513,187062.92853569,63,54,3
5675,5704368.67179404,184912.311966625,17,14,3
5680,5705718.7608105,186070.578364052,87,72,3
5682,5705738.3547178,188098.723304199,34,30,3
5693,5705500.89347922,188618.293980446,9,7,3
5694,5707063.47237767,189909.831066111,5,5,3
5697,5708305.88926748,185218.754154673,42,39,3
5703,5706031.23418833,189436.513366619,32,30,3
5706,5706901.61193919,190209.798751766,40,35,3
5709,5706399.68908355,185806.457163955,18,17,3
5713,5706284.22612475,188400.898357318,12,11,3
5714,5707763.88096948,190645.382524031,16,16,3
5717,5707514.15158369,184549.016486268,58,53,3
5726,5706000.48486679,188877.717869883,33,26,3
5746,5708448.91524035,185208.477001519,24,23,3
5782,5706544.00175106,186981.490726504,61,55,3
5813,5705669.38262489,186227.964464482,104,42,3
5814,5706012.16880181,189577.452880139,70,42,3
5816,5706003.27883,188103.652131486,36,26,3
11465,5706556.6014263,190226.552344871,10,8,3
19923,5705483.7942566,188723.886816318,17,14,3
19973,5707259.23628785,190003.220585294,20,18,3
19981,5706445.31516849,185318.353832561,30,17,3
19983,5703595.16542666,183827.770615898,82,77,3
20016,5708695.69403125,184673.590536715,61,59,3
20025,5705575.64484849,185106.41754292,71,54,2
20048,5707024.45021455,185120.62933965,73,60,3
20085,5707659.11753367,183775.710121688,23,17,3
20096,5707860.11638012,189013.622395692,20,16,3
20100,5707126.80288482,189937.23249971,34,30,3
20129,5706667.50000079,187090.887587129,21,21,3
20137,5708543.63161415,182332.852011773,76,67,3
20140,5706675.87660196,189803.989175687,30,26,3
20173,5703808.97256403,182753.869985183,89,78,3
20181,5706835.80907936,187022.428841229,64,33,3
20212,5706494.6131497,186427.99543918,35,28,3
20218,5706098.24452911,186194.486728138,25,21,3
20274,5703894.41915377,182248.875130287,45,41,3
