it,dist_norm,max_dist,s,costcupo,z,temp
1,0.921848292865,13.96041377028,0.5553584234398,0.3201241934734,10.33524840528,32768
1,0.921848292865,13.96041377028,0.5553584234398,0.3201241934734,10.33524840528,32768
2,0.921848292865,13.96041377028,0.5552407902202,0.3201358559069,10.33523261291,32768.0000000000000
3,0.9218482928650,13.9604137702796,0.5551231570006,0.3199060907147,10.3351873781455,32768.0000000000000
4,0.9218482928650,13.9604137702796,0.5550055237810,0.3198519901608,10.3351635658995,32768.0000000000000
5,0.8896075854648,13.4721624831239,0.5551231570006,0.3198935701148,9.9779288118609,32768.0000000000000
6,0.8896075854648,13.4721624831239,0.5550763229804,0.3198437999879,9.9779158885741,32768.0000000000000
7,0.8896075854648,13.4721624831239,0.5549586897607,0.3194243038923,9.9778475158962,32768.0000000000000
8,0.8896075854648,13.4721624831239,0.5548410565411,0.3190966665296,9.9777903455028,32768.0000000000000
9,0.8736094901271,13.2298883126567,0.5548410565411,0.3190207737969,9.8005073070228,32768.0000000000000
10,0.8731238943182,13.2225344796349,0.5548410565411,0.3188049885387,9.7951001383168,32768.0000000000000
11,0.8694754788006,13.1672830997428,0.5549586897607,0.3188295960855,9.7546925149091,32768.0000000000000
12,0.8694754788006,13.1672830997428,0.5548410565411,0.3188390324139,9.7546764510634,32768.0000000000000
13,0.8694754788006,13.1672830997428,0.5547234233215,0.3186852469787,9.7546404821245,32768.0000000000000
14,0.8694754788006,13.1672830997428,0.5546057901019,0.3183481684241,9.7545821603662,32768.0000000000000
15,0.8694754788006,13.1672830997428,0.5544881568823,0.3183569115585,9.7545660119846,32768.0000000000000
16,0.8694754788006,13.1672830997428,0.5544413228620,0.3183145664831,9.7545539941920,32768.0000000000000
17,0.8694754788006,13.1672830997428,0.5543944888418,0.3182714068162,9.7545418770589,32768.0000000000000
18,0.8684673506201,13.1520160686686,0.5543944888418,0.3182968060090,9.7433739761745,32768.0000000000000
19,0.8684673506201,13.1520160686686,0.5542768556222,0.3182951487892,9.7433565594570,32768.0000000000000
20,0.8684673506201,13.1520160686686,0.5542300216019,0.3182390503552,9.7433428644255,32768.0000000000000
21,0.8684673506201,13.1520160686686,0.5541123883823,0.3181826962454,9.7433187773556,32768.0000000000000
22,0.8684673506201,13.1520160686686,0.5539947551627,0.3181796088614,9.7433011862279,32768.0000000000000
23,0.8684673506201,13.1520160686686,0.5538771219431,0.3181771941800,9.7432836771370,32768.0000000000000
24,0.8684673506201,13.1520160686686,0.5538302879228,0.3180917400150,9.7432664021383,32768.0000000000000
25,0.8684673506201,13.1520160686686,0.5537126547032,0.3180232988614,9.7432408410387,32768.0000000000000
26,0.8684673506201,13.1520160686686,0.5535950214836,0.3179432934509,9.7432138696638,32768.0000000000000
